Date,iPhone,Apple iPhone 8
25/1/2018,790.3443338,699.99
8/2/2018,833.1237504,709.99
24/2/2018,824.2575145,659.98
10/3/2018,701.567495,639.44
11/3/2018,705.998378,659
2/4/2018,688.3309235,624.753
10/4/2018,627.386145,604.495
11/4/2018,626.4090109,609
14/4/2018,627.287959,609
1/5/2018,639.1447088,614.975
9/5/2018,633.8831889,573.665
12/5/2018,652.5011242,569.5325
13/5/2018,654.9033541,569.84
15/5/2018,657.4978591,571.2711111
16/5/2018,658.4855535,566.57
19/5/2018,651.6261337,557.665
20/5/2018,642.1465399,539.8083333
21/5/2018,675.3832098,545
24/5/2018,641.4643566,534.8366667
25/5/2018,653.7735768,527.35
26/5/2018,651.8887953,522.495
27/5/2018,638.4961657,539
28/5/2018,636.4578392,524.38125
29/5/2018,636.0020646,519.9433333
1/6/2018,630.3329802,519.95
10/6/2018,626.2803065,518.81
11/6/2018,609.190228,517.7478571
12/6/2018,599.5371908,514.1921053
14/6/2018,590.6604563,499.9666667
15/6/2018,588.0339794,498.3592308
16/6/2018,584.0707339,493.43
17/6/2018,583.9782189,492.94375
18/6/2018,585.9240469,492.0932
19/6/2018,581.3033128,491.2334615
20/6/2018,576.5786336,490.3088462
24/6/2018,583.6663878,484.8
26/6/2018,590.9324071,514
27/6/2018,581.4211406,496.2
2/7/2018,583.6149243,516.6
3/7/2018,580.5168928,518.552
4/7/2018,580.7774783,517
5/7/2018,568.920844,496.99
6/7/2018,562.3979418,493.99
9/7/2018,566.1351392,504.225
10/7/2018,565.4561005,515
11/7/2018,562.8234246,504.768
12/7/2018,572.1406901,511.22375
13/7/2018,570.614125,494.945
14/7/2018,573.2841907,489.5933333
15/7/2018,576.0172916,509.9725
16/7/2018,571.7694812,494.945
17/7/2018,577.1580104,503.3233333
18/7/2018,573.6238275,489.9
19/7/2018,600.5249276,493.2933333
20/7/2018,569.8537394,489.9
21/7/2018,572.2721233,499.99
22/7/2018,572.2139442,508.4496154
23/7/2018,573.6520454,499.325
24/7/2018,576.7171886,509.95
26/7/2018,563.6459939,499
27/7/2018,567.6162499,496
28/7/2018,566.4719902,493
1/8/2018,557.012602,476.1531034
2/8/2018,559.2140062,475.03
4/8/2018,565.9327224,473.7445833
5/8/2018,561.8871813,472.88
7/8/2018,561.7132579,472.66
8/8/2018,561.9396755,472.97
9/8/2018,567.0791703,472.865
10/8/2018,566.0626743,454.495
