Day,iPhone,Apple iPhone 8
0,790.3443338,699.99
14,833.1237504,709.99
30,824.2575145,659.98
44,701.567495,639.44
45,705.998378,659
67,688.3309235,624.753
75,627.386145,604.495
76,626.4090109,609
79,627.287959,609
96,639.1447088,614.975
104,633.8831889,573.665
107,652.5011242,569.5325
108,654.9033541,569.84
110,657.4978591,571.2711111
111,658.4855535,566.57
114,651.6261337,557.665
115,642.1465399,539.8083333
116,675.3832098,545
119,641.4643566,534.8366667
120,653.7735768,527.35
121,651.8887953,522.495
122,638.4961657,539
123,636.4578392,524.38125
124,636.0020646,519.9433333
127,630.3329802,519.95
136,626.2803065,518.81
137,609.190228,517.7478571
138,599.5371908,514.1921053
140,590.6604563,499.9666667
141,588.0339794,498.3592308
142,584.0707339,493.43
143,583.9782189,492.94375
144,585.9240469,492.0932
145,581.3033128,491.2334615
146,576.5786336,490.3088462
150,583.6663878,484.8
152,590.9324071,514
153,581.4211406,496.2
158,583.6149243,516.6
159,580.5168928,518.552
160,580.7774783,517
161,568.920844,496.99
162,562.3979418,493.99
165,566.1351392,504.225
166,565.4561005,515
167,562.8234246,504.768
168,572.1406901,511.22375
169,570.614125,494.945
170,573.2841907,489.5933333
171,576.0172916,509.9725
172,571.7694812,494.945
173,577.1580104,503.3233333
174,573.6238275,489.9
175,600.5249276,493.2933333
176,569.8537394,489.9
177,572.2721233,499.99
178,572.2139442,508.4496154
179,573.6520454,499.325
180,576.7171886,509.95
182,563.6459939,499
183,567.6162499,496
184,566.4719902,493
188,557.012602,476.1531034
189,559.2140062,475.03
191,565.9327224,473.7445833
192,561.8871813,472.88
194,561.7132579,472.66
195,561.9396755,472.97
196,567.0791703,472.865
197,566.0626743,454.495
200,558.651998,449.7014286
202,563.7876911,439.7916667
203,563.2303799,437.9552632
204,567.8419462,428.9
205,567.5735285,428.5225
206,565.1676832,428.8
208,558.7012122,424.9533333
210,589.3150126,426.7466667
212,551.5187586,427.6233333
214,600.6206676,424.96
215,562.3133467,424.96
216,583.6304308,424.95
220,546.8776754,431.7233333
221,581.5270414,427.245
222,561.3150725,425.91
223,585.592554,431.7675
224,553.7794019,431.6566667
227,555.0409338,441.79
231,557.1006303,441.2757143
235,539.2072872,439.11
236,540.3821016,439.99
244,553.3193607,449
245,543.7019697,439.99
247,529.4938273,420.85
251,524.4896604,404.886
252,528.5702375,402.11
253,530.2802953,400.1453333
254,527.9109612,401.505
255,525.834344,400.7007692
259,511.3794471,394.33
260,527.1697545,392.99
262,519.8457593,389.975
263,523.6873622,388.985
271,511.081635,379.475
273,514.8217086,378.95
275,515.8315323,378.9
284,507.0060577,378.46
285,502.1504445,377.93
286,502.1212612,378.5
289,506.0278093,386.6566667
290,509.116015,384.21
291,514.5782875,381.5257143
294,510.0206637,375.27
295,511.7118786,364.99
297,508.36313,364.49
298,502.6788542,364.99
300,501.121044,369.99
303,496.8411463,369.99
305,488.2779445,372.44
306,489.1464356,374.98
307,488.7314457,384.99
308,480.6887785,373.3233333
309,479.2337782,374.99
310,481.8732386,374.902
311,483.3660297,374.99
312,469.039085,374.7233333
313,467.5330537,373.5011111
316,466.1853026,367.49
318,463.6707842,374.9
321,459.1774792,374.548
322,457.1866807,373.2846667
324,455.9387509,368.7766667
325,453.7668768,368.465
326,449.7326474,369.99
327,446.7239243,364.99
328,448.9013993,364.455
329,449.9724502,364.21
331,443.4953946,361.395
332,448.2903709,363.84
333,448.3854847,361.54
334,448.065286,359.2075
335,450.5788779,360.2533333
336,446.4420029,353.8
339,449.8312721,363
340,445.9881188,357.6
341,444.4191743,356.4644444
342,444.4904875,361.6666667
343,443.728827,364.9966667
346,455.8077528,364.5566667
347,453.5094448,364.325
348,458.3683803,376.6616667
349,459.6585196,399
351,448.0532872,395.77
352,447.3478909,383.065
