,Day,iPhone
0,15/1/2018,790.3443338
14,29/1/2018,833.1237504
30,14/2/2018,824.2575145
44,28/2/2018,701.567495
45,1/3/2018,705.998378
67,23/3/2018,688.3309235
75,31/3/2018,627.386145
76,1/4/2018,626.4090109
79,4/4/2018,627.287959
96,21/4/2018,639.1447088
104,29/4/2018,633.8831889
107,2/5/2018,652.5011242
108,3/5/2018,654.9033541
110,5/5/2018,657.4978591
111,6/5/2018,658.4855535
114,9/5/2018,651.6261337
115,10/5/2018,642.1465399
116,11/5/2018,675.3832098
119,14/5/2018,641.4643566
120,15/5/2018,653.7735768
121,16/5/2018,651.8887953
122,17/5/2018,638.4961657
123,18/5/2018,636.4578392
124,19/5/2018,636.0020646
127,22/5/2018,630.3329802
136,31/5/2018,626.2803065
137,1/6/2018,609.190228
138,2/6/2018,599.5371908
140,4/6/2018,590.6604563
141,5/6/2018,588.0339794
142,6/6/2018,584.0707339
143,7/6/2018,583.9782189
144,8/6/2018,585.9240469
145,9/6/2018,581.3033128
146,10/6/2018,576.5786336
150,14/6/2018,583.6663878
152,16/6/2018,590.9324071
153,17/6/2018,581.4211406
158,22/6/2018,583.6149243
159,23/6/2018,580.5168928
160,24/6/2018,580.7774783
161,25/6/2018,568.920844
162,26/6/2018,562.3979418
165,29/6/2018,566.1351392
166,30/6/2018,565.4561005
167,1/7/2018,562.8234246
168,2/7/2018,572.1406901
169,3/7/2018,570.614125
170,4/7/2018,573.2841907
171,5/7/2018,576.0172916
172,6/7/2018,571.7694812
173,7/7/2018,577.1580104
174,8/7/2018,573.6238275
175,9/7/2018,600.5249276
176,10/7/2018,569.8537394
177,11/7/2018,572.2721233
178,12/7/2018,572.2139442
179,13/7/2018,573.6520454
180,14/7/2018,576.7171886
182,16/7/2018,563.6459939
183,17/7/2018,567.6162499
184,18/7/2018,566.4719902
188,22/7/2018,557.012602
189,23/7/2018,559.2140062
191,25/7/2018,565.9327224
192,26/7/2018,561.8871813
194,28/7/2018,561.7132579
195,29/7/2018,561.9396755
196,30/7/2018,567.0791703
197,31/7/2018,566.0626743
200,3/8/2018,558.651998
202,5/8/2018,563.7876911
203,6/8/2018,563.2303799
204,7/8/2018,567.8419462
205,8/8/2018,567.5735285
206,9/8/2018,565.1676832
208,11/8/2018,558.7012122
210,13/8/2018,589.3150126
212,15/8/2018,551.5187586
214,17/8/2018,600.6206676
215,18/8/2018,562.3133467
216,19/8/2018,583.6304308
220,23/8/2018,546.8776754
221,24/8/2018,581.5270414
222,25/8/2018,561.3150725
223,26/8/2018,585.592554
224,27/8/2018,553.7794019
227,30/8/2018,555.0409338
231,3/9/2018,557.1006303
235,7/9/2018,539.2072872
236,8/9/2018,540.3821016
244,16/9/2018,553.3193607
245,17/9/2018,543.7019697
247,19/9/2018,529.4938273
251,23/9/2018,524.4896604
252,24/9/2018,528.5702375
253,25/9/2018,530.2802953
254,26/9/2018,527.9109612
255,27/9/2018,525.834344
259,1/10/2018,511.3794471
260,2/10/2018,527.1697545
262,4/10/2018,519.8457593
263,5/10/2018,523.6873622
271,13/10/2018,511.081635
273,15/10/2018,514.8217086
275,17/10/2018,515.8315323
284,26/10/2018,507.0060577
285,27/10/2018,502.1504445
286,28/10/2018,502.1212612
289,31/10/2018,506.0278093
290,1/11/2018,509.116015
291,2/11/2018,514.5782875
294,5/11/2018,510.0206637
295,6/11/2018,511.7118786
297,8/11/2018,508.36313
298,9/11/2018,502.6788542
300,11/11/2018,501.121044
303,14/11/2018,496.8411463
305,16/11/2018,488.2779445
306,17/11/2018,489.1464356
307,18/11/2018,488.7314457
