,Day,iPhone 8,iPhone X,iPhone XS,iPhone 11,,
0,15/1/2018,699.99,899.99,849.99,709.99,,
14,29/1/2018,709.99,1009.77,805.9875,805.9966667,,
30,14/2/2018,659.98,999.77,768.99,869,,
44,28/2/2018,639.44,845.54,640.4433333,679.99,,
45,1/3/2018,659,848.99,634.99,679.99,,
67,23/3/2018,624.753,878.47,542.3833333,707.2425,,
75,31/3/2018,604.495,699.99,516.5,689.2671429,,
76,1/4/2018,609,679.99,530.4266667,686.99,,
79,4/4/2018,609,679,531.985,689.99,,
96,21/4/2018,614.975,679.99,572.37,689.98,,
104,29/4/2018,573.665,666.2666667,536.48,761.41,,
107,2/5/2018,569.5325,714.475,517.6233333,811.1366667,,
108,3/5/2018,569.84,706.2833333,520.2275,826.3166667,,
110,5/5/2018,571.2711111,706.3133333,516.925,838.72125,,
111,6/5/2018,566.57,723.2666667,517.22,829.9,,
114,9/5/2018,557.665,714.925,517.894,818.9914286,,
115,10/5/2018,539.8083333,688,517,827.2057143,,
116,11/5/2018,545,814.0233333,508.495,836.6483333,,
119,14/5/2018,534.8366667,701.6466667,496.6425,836.256875,,
120,15/5/2018,527.35,778.99,495.4766667,815.986,,
121,16/5/2018,522.495,769.2225,489.8728571,828.9875,,
122,17/5/2018,539,785.9166667,483.5842857,746.99,,
123,18/5/2018,524.38125,799.77,478.99,744.166,,
124,19/5/2018,519.9433333,799.77,478.9966667,746.8492308,,
127,22/5/2018,519.95,779.385,478.7033333,744.9625,,
136,31/5/2018,518.81,799,456.975,731.684,,
137,1/6/2018,517.7478571,736.3266667,454.495,729.975,,
138,2/6/2018,514.1921053,689,458.1,739.1483333,,
140,4/6/2018,499.9666667,675,455.1875,734.92375,,
141,5/6/2018,498.3592308,673.3066667,451.7533333,731.1207692,,
142,6/6/2018,493.43,664.0766667,449.9833333,731.305,,
143,7/6/2018,492.94375,661.97,447.62,735.985,,
144,8/6/2018,492.0932,660.79,455.96,737.49,,
145,9/6/2018,491.2334615,658.05,446.392,732.1257143,,
146,10/6/2018,490.3088462,650.6975,449.4271429,718.3111111,,
150,14/6/2018,484.8,678.5925,456.5657143,716.95,,
152,16/6/2018,514,679.99,457.95,713.7522222,,
153,17/6/2018,496.2,659.99,458.998,712.72,,
158,22/6/2018,516.6,634.3066667,476.995,708.73625,,
159,23/6/2018,518.552,622.235,472.3933333,711.18,,
160,24/6/2018,517,634.8116667,477.6533333,695.6114286,,
161,25/6/2018,496.99,622.485,479.98,678.16,,
162,26/6/2018,493.99,629.987,479.3833333,647.6566667,,
165,29/6/2018,504.225,619.79,491.77,650.2066667,,
166,30/6/2018,515,609.99,493.4463636,644.7425,,
167,1/7/2018,504.768,622.48,475.9833333,649.4925,,
168,2/7/2018,511.22375,632.48,489.778125,656.4875,,
169,3/7/2018,494.945,622.1342857,511.594,655.35,,
170,4/7/2018,489.5933333,610.99,539,655.215,,
171,5/7/2018,509.9725,622.1328571,518.235,655.1744444,,
172,6/7/2018,494.945,606.6566667,512.47,674.99,,
173,7/7/2018,503.3233333,623.99,509.3928571,673.7042857,,
174,8/7/2018,489.9,638.74,489.884,677.825,,
175,9/7/2018,493.2933333,659.99,568.99,681.49,,
176,10/7/2018,489.9,634.9766667,503.68,652.33,,
177,11/7/2018,499.99,631.3233333,502.8833333,656.378,,
178,12/7/2018,508.4496154,619.49,509.191,653.178,,
179,13/7/2018,499.325,625.6566667,522.032,648.995,,
180,14/7/2018,509.95,628.2627273,527.6571429,642.19,,
182,16/7/2018,499,617.986,508.7835714,629.988,,
183,17/7/2018,496,635.3333333,511.19,628.995,,
184,18/7/2018,493,629.49,516.9975,627.49,,
188,22/7/2018,476.1531034,620.97,503.245,628.995,,
189,23/7/2018,475.03,629.62,503.49,629.99,,
191,25/7/2018,473.7445833,648.9766667,503.14,639.1566667,,
192,26/7/2018,472.88,643.47,502.8866667,629.495,,
194,28/7/2018,472.66,654.98,491.3266667,628.99,,
195,29/7/2018,472.97,653.982,492.914,629,,
196,30/7/2018,472.865,663.978,498.59,633.9925,,
197,31/7/2018,454.495,679.94,497.942,632.99,,
200,3/8/2018,449.7014286,628.99,500.818,656.99,,
202,5/8/2018,439.7916667,639.49,512.88,664.9933333,,
203,6/8/2018,437.9552632,641.1075,500.0575,675.99,,
204,7/8/2018,428.9,649.9725,490.1583333,704.99,,
205,8/8/2018,428.5225,644.97,489.582,709.99,,
206,9/8/2018,428.8,655.774,492.91,685.4925,,
208,11/8/2018,424.9533333,628.99,476.5,707.2425,,
210,13/8/2018,426.7466667,729.74,489.5,713.5,,
212,15/8/2018,427.6233333,631.5766667,489,659.97,,
214,17/8/2018,424.96,839,488.995,649.99,,
215,18/8/2018,424.96,687.954,492.165,645.6566667,,
216,19/8/2018,424.95,734.495,492.82,684,,
220,23/8/2018,431.7233333,656.24,489.4290476,611.245,,
