,Day,iPhone 8,iPhone X,iPhone XS,iPhone 11,iPhone 12,iPhone 13
0,0,699.99,899.99,849.99,709.99,829.99,729.99
1,1,659.99,921.7579265,816.4214021,731.9232439,804.99,879.5394347
2,2,699.99,897.6699591,810.102,729,804.1831579,763.0122058
3,3,759.99,894.6318704,810.9741874,744.4257143,804.99,764.0676826
4,4,659.99,896.6895086,824.99,721.8073258,806.2448353,921.4644083
5,5,714.5781723,940.3143441,809.99,774.495,805.3441176,772.4035691
6,6,659.99,843.5925784,810.066235,704.63,803.9307142,960
7,7,672.5053507,896.8901716,797.0576923,745.99,794.515,776.6507627
8,8,659.99,888.9388455,801.6596871,745.99,804.4201837,769.6710182
9,9,659.99,977.8806357,796.97,754.6316,805.9897427,874.2460967
10,10,659.99,889.4206413,799.083217,767.594,804.4620409,774.7588594
11,11,724.3233333,976.4915233,759.99,745.1666909,789.66,757.2421252
12,12,759.99,898.6169534,759.98,744.3617184,787.49,779.97
13,13,694.1366066,894.0625262,833.3166667,934.385,809.99,760.5395205
14,14,709.99,1009.77,805.9875,805.9966667,809.99,757.3923433
15,15,683.8205248,989.2522047,810.8266022,852.1454801,808,773.7935566
16,16,659.99,914.4586844,792.49,825.495,805,770.97
17,17,659.989107,929.1528893,792.49,825.495,803.99,768.951701
18,18,659.99,929.0057805,776.495,772.3091974,799.99,774.97
19,19,659.98,880.0499161,828.705,774.495,806.2844109,778.97
20,20,659.99,883.3943177,780,781.99,803.693983,773.6366667
21,21,659.9872863,883.9777329,793.985,652.86,802.9745204,777.97
22,22,659.99,918.7937237,785.1616667,806.7710743,804.659711,768.985
23,23,659.9831451,961.0911413,787.98,816.527615,798.3166667,753.495
24,24,659.98,899,779.424401,842.4222878,809.97,761.9766667
25,25,659.98,973.6685082,778.7141547,813.4385075,796.4268172,751.99
26,26,659.98,956.9867505,774.49,842.6436038,789.99,749
27,27,656.7657928,892.332799,773.99,766.49,799,751.99
28,28,659.98,964.769865,769.99,869,795.7693672,748.7475
29,29,657.2641502,932.5749418,739.5458205,841.02352,798,768
30,30,659.98,999.77,768.99,869,798,752.99
31,31,659,936.1486809,764.79,865,804.99,762.782
32,32,653.99,880.6778727,687.49,686.64824,791.8092661,772.3133333
33,33,648.9766667,864.665574,673.99,685.6961144,789.1071677,774.47
34,34,648.94,863.9673315,669.99,685.6831443,792.7923052,773.376
35,35,646.05,875.0213199,665.7612861,687.7780177,786.8266667,774.3584059
36,36,644.98,864.8269625,668.69,684.3212404,789.6121835,774.845
37,37,644.96,860.5955903,663.5742857,686.0808832,799.99,774.485
38,38,644.9733333,862.5137444,654.98,683.6689792,795.7953301,774.3233333
39,39,644.96,876.1482757,644,679.99,791.214805,779.47
40,40,644.94,888.85,648.4531511,694.0249468,784.99,779.6366667
41,41,643.3133333,848.99,646.2030715,679.99,813.435,778.0418459
42,42,632.664,849,641.0649378,679.99,805.9056888,789.97
43,43,639.3366667,854.9568883,639.99,679.99,804.7709922,779.98
44,44,639.44,845.54,640.4433333,679.99,800,782.825
45,45,659,848.99,634.99,679.99,806.3391331,779.485
46,46,638.915,851.3755107,635.733514,679.99,804.99,781.7375
47,47,644.5,862.6566667,618.3133333,690.2724718,798.3036595,778.2010639
48,48,659,837.3521159,597.128,713.3233333,792.245,788.97
49,49,649.99,825.0610019,588.95,706.6566667,790.2203654,783
50,50,654.495,830.9934653,598.0463633,709.99,792.245,787.976
51,51,650,842.746,624.0533757,699.99,794.7827758,774.3233333
52,52,650.01,816.345,598.3811617,703.6163197,792.1318375,786.700032
53,53,659,830.7633333,600.9764263,710.653099,809.1233323,786.985
54,54,644.5,821.655,573.0669264,688.69,878.8029204,792.9866667
55,55,642.25,833.255,600.4380246,689.99,902.1735221,774.495
56,56,639.98,822.8037091,579.4785728,689.495,808.8335309,762.49
57,57,639.99,861.521865,636.8880784,690.0837718,791.745,762.5
58,58,639.98,878.975,636.1089993,690.3028348,829.6633333,758.825
59,59,635.005,878.99,598.8474359,691.4809582,823.5161436,756.6566667
60,60,635.02,825.785,623.2573963,687.7654257,889.99,770.240018
61,61,639.985,825.79,609.8996924,685.9475,889.99,772.978
62,62,639.94,729.99,538.65,689.0291168,889.99,759.49
63,63,638.6633333,828.4425,538.43,690.729841,932.49,784.1383333
64,64,633.15,819.364,552.645,691.0644227,933,783.65
65,65,629.8875,878.94,546.785,692.077044,933.995,791.985
66,66,627.7463636,854.2882368,544,692.986,934.99,788.6433333
67,67,624.753,878.47,542.3833333,707.2425,889.99,781.735
68,68,608.92,764.99,543.8925,688.4901573,859.99,794.97
69,69,608.9733333,735.9083438,538.99,688.54657,796.6523271,784.9833333
70,70,599.99,701.3630105,532.7666667,686.2425,782.414571,783.17
71,71,609,741.995,536.4975125,689.5069565,779.99,786.8256962
72,72,599.99,699.8666708,529.5,687.7298855,783.3616623,784.8291899
73,73,609,687.7333995,522.95,686.99,754.99,792.485
74,74,604.495,704.8167101,521.0075035,689.469,757.2506881,792.95
75,75,604.495,699.99,516.5,689.2671429,749.99,794.97
76,76,609,679.99,530.4266667,686.99,782.8973315,780.99
77,77,602.9933333,689.5114097,529,688.3166667,799.99,779.49
78,78,651.598,824.8580717,542.0842857,688.98,824.1827038,786.2728571
79,79,609,679,531.985,689.99,774.6213372,792.49
80,80,681.4766667,780.51561,534.6533333,689.1251553,789.6466667,789
81,81,711.4583333,717.2814075,532.9458175,688.558925,780.0322447,766.9956206
82,82,614.495,694.8281272,537.2676795,688.8875946,774.99,788.6711883
83,83,649.6633333,831.9953096,525.796,689.974,789.97,786.33
84,84,799.88,784.7904259,780.6386173,689.97,782.47,780.8385714
85,85,719.935,679.99,530.8858626,688.8771325,789.95,774.495
86,86,699.77,754.4636796,530.6511156,688.27,789.22,758.7375
87,87,654.385,832.8727486,533.1188092,689.46,765.485,770
88,88,699.77,766.7881989,531.4411661,688.9056241,755.77,764.945
89,89,699.77,768.7469215,529.98,688.8558101,749.88,764
90,90,609,676.1816868,523.995,689.97,744.99,769.3636315
91,91,642.92,791.0613914,543.3798048,689.2966667,747.38,760.9966667
92,92,619.95,676.4842037,525.985,689.148,749.77,762
93,93,614.475,679.0561229,546.4058352,688.95,749.2566667,761.49
94,94,619,683.0249122,550.616851,689.8103251,756.2033808,741.9925
95,95,610.95,693.0135349,559.9675,689.985,769.4258997,723.5
96,96,614.975,679.99,572.37,689.98,752.7976386,749.627995
97,97,614,670,532.2133333,689.7733072,755.2240855,734.47
98,98,579.99,684.791155,531.8333333,688.97,765.7573708,738.9496746
99,99,549.99,684.0125315,532.2666667,690.9716667,764.5813277,734.95
100,100,559.99,679.6106207,531.995,769.99,759.99,729.95
101,101,562.215,696.2458324,521.8966667,789.99,765.3107812,722.98
102,102,579.896,689,519.7225224,793.9978947,764.8060302,723.7425
103,103,582.46,689.66,518.855,792.9748318,767.4071279,719.98
104,104,573.665,666.2666667,536.48,761.41,771.9626722,714.95
105,105,569.955,696.2026718,520.69,794.9928571,749,709.99
106,106,572.435,696.4575903,521.1975,788.745,760.5729551,717.2461391
