,Apple iPhone 8,Apple iPhone X,Apple iPhone XS,Apple iPhone 11,Apple iPhone 12,Apple iPhone 13
0,699.99,899.99,849.99,709.99,829.99,729.99
1,659.99,,,,804.99,
2,,,,729.0,,
3,759.99,,,,804.99,
4,659.99,,824.99,,,
5,,,809.99,774.495,,
6,659.99,,,704.63,,960.0
7,,,,745.99,,
8,659.99,,,745.99,,
9,,,796.97,,,
10,659.99,,,767.594,,
11,724.3233333333334,,759.99,,789.66,
12,759.99,,759.98,,787.49,779.97
13,,,833.3166666666666,934.385,809.99,
14,709.99,1009.77,805.9875,805.9966666666666,809.99,
15,,,,,808.0,
16,659.99,,792.49,825.4949999999999,805.0,770.97
17,,,792.49,825.495,803.99,
18,659.99,,776.495,,799.99,774.97
19,659.98,,828.705,774.495,,778.97
20,659.99,,780.0,781.99,,773.6366666666667
21,,,793.985,652.86,,777.97
22,659.99,,785.1616666666665,,,768.985
23,,,787.98,,798.3166666666666,753.495
24,659.98,899.0,,,809.97,761.9766666666668
25,,,,,,751.99
26,659.98,,774.49,,789.99,749.0
27,,,773.99,766.49,799.0,751.99
28,659.98,,769.99,869.0,,748.7475
29,,,,,798.0,768.0
30,659.98,999.77,768.99,869.0,798.0,752.99
31,659.0,,764.79,865.0,804.99,762.7819999999999
32,653.99,,687.49,,,772.3133333333334
33,648.9766666666667,,673.99,,,774.47
34,648.94,,669.99,,,773.376
35,646.0500000000001,,,,786.8266666666667,
36,644.98,,668.69,,,774.845
37,644.96,,663.5742857142858,,799.99,774.4850000000001
38,644.9733333333334,,654.98,,,774.3233333333334
39,644.96,,644.0,,,779.47
40,644.94,888.85,,,784.99,779.6366666666667
41,643.3133333333333,848.99,,679.99,813.435,
42,632.664,849.0,,679.99,,789.97
43,639.3366666666667,,639.99,679.99,,779.98
44,639.44,845.54,640.4433333333333,679.99,800.0,782.8249999999999
45,659.0,848.99,634.99,679.99,,779.4849999999999
46,638.915,,,679.99,804.99,781.7375
47,644.5,862.6566666666668,618.3133333333334,,,
48,659.0,,597.128,713.3233333333334,792.245,788.97
49,649.99,,588.95,706.6566666666668,,783.0
50,654.495,,,709.99,792.245,787.976
51,650.0,842.7459999999999,,699.99,,774.3233333333334
52,650.01,816.345,,,,
53,659.0,830.7633333333333,,,,786.985
54,644.5,821.655,,688.69,,792.9866666666667
55,642.25,833.255,,689.99,,774.495
56,639.98,,,689.495,,762.49
57,639.99,,,,791.745,762.5
58,639.98,878.975,,,829.6633333333333,758.8249999999999
59,635.005,878.99,,,,756.6566666666668
60,635.02,825.785,,,889.99,
61,639.985,825.79,,685.9475,889.99,772.9780000000001
62,639.94,729.99,538.65,,889.99,759.49
63,638.6633333333334,828.4425,538.43,,932.49,784.1383333333334
64,633.15,819.3639999999999,552.645,,933.0,783.65
65,629.8875,878.94,546.7850000000001,,933.995,791.985
66,627.7463636363638,,544.0,692.9859999999999,934.99,788.6433333333334
67,624.7529999999999,878.47,542.3833333333333,707.2425000000001,889.99,781.735
68,608.9200000000001,764.99,543.8925,,859.99,794.97
69,608.9733333333334,,538.99,,,784.9833333333332
70,599.99,,532.7666666666667,686.2425000000001,,783.1700000000001
71,609.0,741.995,,689.5069565217391,779.99,
72,599.99,,529.5,,,
73,609.0,,522.9499999999999,686.99,754.99,792.485
74,604.495,,,689.469,,792.95
75,604.495,699.99,516.5,689.2671428571429,749.99,794.97
76,609.0,679.99,530.4266666666667,686.99,,780.9900000000001
77,602.9933333333333,,529.0,688.3166666666666,799.99,779.49
78,651.598,,542.0842857142858,688.98,,786.2728571428571
79,609.0,679.0,531.985,689.99,,792.49
80,681.4766666666666,,534.6533333333333,,789.6466666666666,789.0
81,711.4583333333334,,,,,
82,614.495,,,,774.99,
83,649.6633333333333,,525.7959999999999,689.9739999999999,789.97,786.3299999999999
84,799.88,,,689.9699999999999,782.47,780.8385714285714
85,719.935,679.99,,,789.95,774.495
86,699.77,,,688.27,789.22,758.7375
87,654.385,,,689.46,765.4849999999999,770.0
88,699.77,,,,755.77,764.9449999999999
89,699.77,,529.98,,749.88,764.0
90,609.0,,523.995,689.9699999999999,744.99,
91,642.92,,,689.2966666666667,747.38,760.9966666666666
92,619.95,,525.985,689.1479999999999,749.77,762.0
93,614.475,,,688.95,749.2566666666667,761.49
94,619.0,,,,,741.9925
95,610.95,,559.9675,689.9849999999999,,723.5
96,614.975,679.99,572.37,689.98,,
97,614.0,670.0,532.2133333333334,,,734.47
98,579.99,,531.8333333333334,688.97,,
99,549.99,,532.2666666666667,690.9716666666667,,734.95
100,559.99,,531.995,769.99,759.99,729.9500000000002
101,562.2149999999999,,521.8966666666668,789.9900000000001,,722.98
102,579.896,689.0,,793.9978947368421,,723.7425000000001
103,582.46,689.66,518.855,,,719.98
104,573.665,666.2666666666668,536.48,761.41,,714.9500000000002
105,569.9549999999999,,520.69,794.9928571428571,749.0,709.9900000000001
106,572.435,,521.1975,788.7449999999999,,
107,569.5325,714.475,517.6233333333333,811.1366666666668,799.95,706.97
108,569.84,706.2833333333334,520.2275,826.3166666666666,,704.4842857142858
109,580.0,,516.925,835.4144444444444,766.6300000000001,703.4750000000001
110,571.271111111111,706.3133333333334,516.925,838.7212499999999,797.495,700.9800000000001
111,566.5699999999999,723.2666666666668,517.22,829.9,798.3266666666667,695.3633333333333
