Code,Name
KPi.033, RI WON HO
KPi.037, CHANG CHANG HA
KPi.038, CHO CHUN RYONG
QDi.430,EMRAAN ALI
KPi.034,JO YONG CHOL
KPi.035, KIM CHOL SAM
KPi.036, KIM SOK CHOL
KPi.030, KIM SONG CHOL
KPi.032, KIM SE GON
KPi.031, SON JONG HYOK
KPi.039, SON MUN SAN
YEi.001, ABD AL-KHALIQ AL-HOUTHI
SOi.020, MAHAD KARATE
QDi.400, IYAD NAZMI SALIH KHALIL
QDi.343, ASHRAF MUHAMMAD YUSUF 'UTHMAN 'ABD AL-SALAM
IRi.001, FEREIDOUN ABBASI-DAVANI
TAi.155, ABDUL AZIZ ABBASIN
QDi.012, NASHWAN ABD AL-RAZZAQ ABD AL-BAQI
IQi.043, HUMAM ABD-AL-KHALIQ ABD-AL-GHAFUR
QDi.192, ABD ALLAH MOHAMED RAGAB ABDEL RAHMAN
TAi.121, AZIZIRAHMAN ABDUL AHAD
TAi.024, ABDUL GHANI BARADAR ABDUL AHMAD TURK
TAi.128, ABDUL QADEER BASIR ABDUL BASEER
TAi.100, NAZIR MOHAMMAD ABDUL BASIR
QDi.054, MAJEED ABDUL CHAUDHRY
TAi.130, ABDUL GHAFAR QURISHI ABDUL GHANI
TAi.162, ABDUL SATAR ABDUL MANAN
QDi.018, ABDUL MANAN AGHA
TAi.142, ABDUL HAI HAZEM ABDUL QADER
TAi.105, AHMAD TAHA KHALID ABDUL QADIR
TAi.080, SAYED ESMATULLAH ASEM ABDUL QUDDUS
QDi.295, MUHAMMAD JIBRIL ABDUL RAHMAN
QDi.229, ALY SOLIMAN MASSOUD ABDUL SAYED
TAi.008, SHAMS UR-RAHMAN ABDUL ZAHIR
TAi.145, AMIR ABDULLAH
QDi.309, ABDUR REHMAN
QDi.363, MAGHOMED MAGHOMEDZAKIROVICH ABDURAKHMANOV
QDi.086, MOHAMAD IQBAL ABDURRAHMAN
QDi.414, ABDULPATTA ESCALON ABUBAKAR
TAi.160, ABDUL SAMAD ACHEKZAI
TAi.167, ADAM KHAN ACHEKZAI
QDi.304, MOCHAMMAD ACHWAN
CFi.002, NOURREDINE ADAM
SOi.018, ABUKAR ALI ADAN
MLi.004, AHMED AG ALBACHAR
MLi.005, HOUKA HOUKA AG ALHOUSSEINI
QDi.316, IYAD AG GHALI
QDi.424, BAH AG MOUSSA
TAi.114, ABDUL RAHMAN AGHA
TAi.156, AHMAD ZIA AGHA
TAi.091, JANAN AGHA
TAi.057, SAYED MOHAMMAD AZIM AGHA
TAi.072, SAYYED GHIASSOUDDINE AGHA
TAi.174, TOREK AGHA
IRi.003, AZIM AGHAJANI
QDi.203, FARHAD KANABI AHMAD
IQi.080, MUHAMMAD YUNIS AHMAD
QDi.226, NAJMUDDIN FARAJ AHMAD
QDi.237, JABER ABDALLAH JABER AHMAD AL-JALAHMAH
TAi.031, MOHAMMAD AHMADI
IRi.004, ALI AKBAR AHMADIAN
SOi.012, ABUBAKER SHARIFF AHMED
IQi.073, ADNAN S. HASAN AHMED
QDi.014, TARIQ ANWAR EL SAYED AHMED
QDi.193, ZAKI EZAT ZAKI AHMED
TAi.159, AHMED JAN WAZIR AKHTAR MOHAMMAD
TAi.149, SALEH MOHAMMAD KAKAR AKHTAR MUHAMMAD
TAi.094, ABDUL BARI AKHUND
TAi.009, ATTIQULLAH AKHUND
TAi.158, MOHAMMAD AMAN AKHUND
TAi.002, MOHAMMAD HASSAN AKHUND
TAi.066, MOHAMMAD ABBAS AKHUND
TAi.060, MOHAMMAD ESSA AKHUND
TAi.109, AHMAD JAN AKHUNDZADA SHUKOOR AKHUNDZADA
TAi.083, EHSANULLAH SARFIDA HESAMUDDIN AKHUNDZADA
TAi.101, MOHAMMAD ESHAQ AKHUNZADA
QDi.313, DJAMEL AKKACHA
QDi.325, ABOU MOHAMED AL ADNANI
QDi.328, HAJJAJ BIN FAHD AL AJMI
QDi.324, ABDUL MOHSEN ABDALLAH IBRAHIM AL CHAREKH
QDi.228, MOHAMMED AL GHABRA
QDi.429, MOHAMMAD ALI AL HABBO
YEi.002, ABDULLAH YAHYA AL HAKIM
QDi.327, ABDELRAHMAN MOUHAMAD ZAFIR AL DABIDI AL JAHANI
QDi.420, TAHA IBRAHIM ABDALLAH BAKR AL KHUWAYT
LYi.005, AMID HUSAIN AL KUNI
LYi.004, QUREN SALIH QUREN AL QADHAFI
IQi.074, MUNIR AL QUBAYSI
YEi.007, SALEH MESFER SALEH AL SHAER
QDi.361, AMRU AL-ABSI
QDi.338, SHAFI SULTAN MOHAMMED AL-AJMI
QDi.236, HAMID ABDALLAH AHMAD AL-ALI
QDi.092, MEHREZ BEN MAHMOUD BEN SASSI AL-AMDOUNI
QDi.389, ABU UBAYDAH YUSUF AL-ANABI
IQi.076, ADIB SHABAN AL-ANI
QDi.060, MOHAMED BEN BELGACEM BEN ABDALLAH AL-AOUADI
QDi.291, IBRAHIM HASSAN TALI AL-ASIRI
QDi.283, ANWAR NASSER ABDULLA AL-AULAQI
IQi.028, HIKMAT MIZBAN IBRAHIM AL-AZZAWI
LYi.001, ABDULQADER MOHAMMED AL-BAGHDADI
QDi.344, IBRAHIM 'ISA HAJJI MUHAMMAD AL-BAKR
LYi.019, SAFIA FARKASH AL-BARASSI
QDi.231, SALEM NOR ELDIN AMOHAMED AL-DABSKI
QDi.278, MUTHANNA HARITH AL-DARI
QDi.149, NOUREDDINE BEN ALI BEN BELKASSEM AL-DRISSI
IQi.006, IZZAT IBRAHIM AL-DURI
IQi.068, JAWHAR MAJID AL-DURI
QDi.379, ABD AL-AZIZ ADAY ZIMIN AL-FADHIL
QDi.059, KHALID ABD AL-RAHMAN HAMD AL-FAWAZ
YEi.008, MUHAMMAD ABD AL-KARIM AL-GHAMARI
QDi.292, OTHMAN AHMED OTHMAN AL-GHAMDI
QDi.332, IBRAHIM SULEIMAN HAMAD AL-HABLAIN
QDi.140, KAMAL BEN MAOELDI BEN HASSAN AL-HAMRAOUI
YEi.012, AHMAD AL-HAMZI
QDi.399, BASSAM AHMAD AL-HASRI
YEi.004, ABDULMALIK AL-HOUTHI
QDi.317, ABU MOHAMMED AL-JAWLANI
IQi.020, TAHA YASSIN RAMADAN AL-JIZRAWI
QDi.337, MAYSAR ALI MUSA ABDALLAH AL-JUBURI
QDi.382, SA'D BIN SA'D MUHAMMAD SHARIYAN AL-KA'BI
QDi.318, MUHAMMAD JAMAL ABD-AL RAHIM AHMAD AL-KASHIF
QDi.380, ABD AL-LATIF BIN ABDALLAH SALIH MUHAMMAD AL-KAWARI
IQi.048, MUHSIN KHADR AL-KHAFAJI
QDi.412, UMAR MAHMUD IRHAYYIM AL-KUBAYSI
QDi.177, HABIB BEN AHMED AL-LOUBIRI
QDi.074, TAREK BEN HABIB BEN AL-TOUMI AL-MAAROUFI
YEi.009, YUSUF AL-MADANI
QDi.411, SALIM MUSTAFA MUHAMMAD AL-MANSUR
YEi.011, MOTLAQ AMER AL-MARRANI
IQi.046, SAIF-AL-DIN AL-MASHHADANI
QDi.320, ABD-AL-HAMID AL-MASLI
QDi.330, AZZAM ABDULLAH ZUREIK AL-MAULID AL-SUBHI
QDi.276, AKRAM TURKI HISHAN AL-MAZIDIH
QDi.277, GHAZY FEZZA HISHAN AL-MAZIDIH
IQi.054, KHAMIS SIRHAN AL-MUHAMMAD
QDi.377, MUHANNAD AL-NAJDI
QDi.334, ‘ABD AL-RAHMAN BIN ‘UMAYR AL-NU’AYMI
QDi.273, FAZEEL-A-TUL SHAYKH ABU MOHAMMED AMEEN AL-PESHAWARI
QDi.339, ‘ABD AL-RAHMAN MUHAMMAD MUSTAFA AL-QADULI
QDi.432, ASHRAF AL-QIZANI
IQi.070, NIDAL AL-RABI'I
IQi.030, AYAD FUTAYYIH KHALIFA AL-RAWI
IQi.014, SAIF-AL-DIN FULAYYIH HASSAN TAHA AL-RAWI
QDi.282, QASIM MOHAMED MAHDI AL-RIMI
QDi.369,MU’TASSIM YAHYA ‘ALI AL-RUMAYSH
IQi.032, AMIR HAMUDI HASSAN AL-SA'DI
QDi.415, ADNAN ABOU WALID AL-SAHRAOUI
YEi.010, MANSUR AL-SA’ADI
LYi.018, ABDULLAH AL-SENUSSI
QDi.381, HAMAD AWAD DAHI SARHAN AL-SHAMMARI
QDi.384, ALI MUSA AL-SHAWAKH
QDi.385, HASAN AL-SALAHAYN SALIH AL-SHA’ARI
IQi.027, SULTAN HASHIM AHMAD AL-TA'I
IQi.004, ABID HAMID MAHMUD AL-TIKRITI
IQi.005, ALI HASSAN AL-MAJID AL-TIKRITI
IQi.061, ALI SADDAM HUSSEIN AL-TIKRITI
IQi.011, BARZAN ABD AL-GHAFUR SULAIMAN MAJID AL-TIKRITI
IQi.038, BARZAN IBRAHIM HASSAN AL-TIKRITI
IQi.059, HALA SADDAM HUSSEIN AL-TIKRITI
IQi.017, HAMID RAJA SHALAH AL-TIKRITI
IQi.007, HANI ABD-AL-LATIF TILFAH AL-TIKRITI
IQi.013, IBRAHIM AHMAD ABD AL-SATTAR MUHAMMED AL-TIKRITI
IQi.022, JAMAL MUSTAFA ABDALLAH SULTAN AL-TIKRITI
IQi.012, MUZAHIM SA'B HASSAN AL-TIKRITI
IQi.002, QUSAY SADDAM HUSSEIN AL-TIKRITI
IQi.015, RAFI ABD-AL-LATIF TILFAH AL-TIKRITI
IQi.057, RAGHAD SADDAM HUSSEIN AL-TIKRITI
IQi.058, RANA SADDAM HUSSEIN AL-TIKRITI
IQi.021, RUKAN RAZUKI ABD-AL-GHAFUR SULAIMAN AL-TIKRITI
IQi.055, SA'D ABD-AL-MAJID AL-FAISAL AL-TIKRITI
IQi.036, SAB'AWI IBRAHIM HASSAN AL-TIKRITI
IQi.001, SADDAM HUSSEIN AL-TIKRITI
IQi.016, TAHIR JALIL HABBUSH AL-TIKRITI
IQi.003, UDAY SADDAM HUSSEIN AL-TIKRITI
IQi.026, WALID HAMID TAWFIQ AL-TIKRITI
IQi.037, WATBAN IBRAHIM HASSAN AL-TIKRITI
SOi.003, HASSAN ABDULLAH HERSI AL-TURKI
IQi.051, GHAZI HAMMUD AL-UBAIDI
IQi.044, YAHIA ABDALLAH AL-UBAIDI
IQi.071, INTISSAR AL-UBAYDI
QDi.015, MAHFOUZ OULD AL-WALID
QDi.329, AHMED ABDULLAH SALEH AL-KHAZMARI AL-ZAHRANI
QDi.392, FAYSAL AHMAD BIN ALI AL-ZAHRANI
QDi.401, GHALIB ABDULLAH AL-ZAIDI
QDi.006, AIMAN MUHAMMED RABI AL-ZAWAHIRI
QDi.156, ABD-AL-MAJID AZIZ AL-ZINDANI
IQi.050, UGLA ABID SAKR AL-ZUBAISI
QDi.326, HAMID HAMAD HAMID AL-‘ALI
QDi.335, ‘ABD AL-RAHMAN KHALAF ‘UBAYD JUDAY’ AL-‘ANIZI
QDi.154, SULAIMAN JASSEM SULAIMAN ALI ABO GHAITH
QDi.299, IBRAHIM AWWAD IBRAHIM ALI AL-BADRI AL-SAMARRAI
QDi.296, MATI UR-REHMAN ALI MUHAMMAD
TAi.148, ABDUL HABIB ALIZAI
QDi.370, TARAD MOHAMMAD Alnori Alfares ALJARBA
TAi.143, HAMDULLAH ALLAH NOOR
SDi.002, MUSA HILAL ABDALLA ALNSIEM
QDi.076, ISAM ALI MOHAMED ALOUCHE
QDi.422, MOHAMMED MASOOD AZHAR ALVI
TAi.136, MOHAMMAD SADIQ AMIR MOHAMMAD
QDi.152, SAIFI AMMARI
IQi.039, HUDA SALIH MAHDI AMMASH
SSi.008, PAUL MALONG AWAN ANEI
QDi.216, ABDULLAH ANSHORI
TAi.005, MUHAMMAD TAHER ANWARI
QDi.323, SAID ARIF
QDi.398, RUSTAM MAGOMEDOVICH ASELDEROV
QDi.184, MUHSIN FADHIL AYED ASHOUR AL-FADHLI
QDi.265, HAJI MUHAMMAD ASHRAF
QDi.364,ISLAM SEIT-UMAROVICH ATABIEV
SOi.004, AHMED ABDI AW-MOHAMED
TAi.038, ABDUL BAQI BASIR AWAL SHAH
SOi.002, HASSAN DAHIR AWEYS
QDi.042, HASSAN DAHIR AWEYS
QDi.248, RICARDO PEREZ AYERAS
SOi.019, MAALIM AYMAN
TAi.104, MOHAMMAD RASUL AYYUB
IQi.025, TARIQ AZIZ
QDi.371, ABD AL-BASET AZZOUZ
IQi.069, Sundus Abd Al-Ghafur
LYi.022, Fitiwi Abdelrazak
SOi.017, Abdifatah Abubakar Abdi
LYi.021, Ermias Alem
SOi.016, Ahmad Iman Ali
QDi.404, Muhammad Bahrum Naim Anggih Tamtomo
MLi.001, Ahmoudou Ag Asriw
QDi.305, ABDUL ROSYID RIDHO BA'ASYIR
QDi.217, ABU BAKAR BA'ASYIR
QDi.293, ABDUL RAHIM BA'AYSIR
CDi.001, ERIC BADEGE
QDi.080, SAID BAHAJI
QDi.266, MAHMOUD MOHAMMAD AHMED BAHAZIQ
IRi.009, BAHMANYAR MORTEZA BAHMANYAR
CDi.036, SEKA BALUKU
QDi.311, AYYUB BASHIR
QDi.055, MAHMOOD SULTAN BASHIR-UD-DIN
QDi.345, TARKHAN TAYUMURAZOVICH BATIRASHVILI
QDi.279, MOHAMED BELKALEM
QDi.136, MOKHTAR BELMOKHTAR
QDi.375, BOUBAKER BEN HABIB BEN AL-HAKIM
MLi.006, MAHRI SIDI AMAR BEN DAHA
QDi.355, SOFIANE BEN GOUMO
QDi.333, SEIFALLAH BEN OMAR BEN MOHAMED BEN HASSINE
QDi.386, MOUNIR BEN DHAOU BEN BRAHIM BEN HELAL
QDi.388, SALIM BENGHALEM
QDi.307, HAFIZ ABDUL SALAM BHUTTAVI
QDi.421, HAMZA USAMA MUHAMMAD BIN LADEN
QDi.009, BILAL BIN MARWAN
QDi.417, MOHAMAD RAFI BIN UDIN
QDi.081, RAMZI MOHAMED ABDULLAH BINALSHIBH
KPi.016,JANG BOM SU
KPi.073, PAK BONG NAM
QDi.188, FAYCAL BOUGHANEMI
QDi.058, BOUBEKEUR BOULGHITI
QDi.143, HAMADI BEN ABDUL AZIZ BEN ALI BOUYEHIA
CFi.001, FRANÇOIS YANGOUVONDA BOZIZÉ
CDi.002, FRANK KAKOLELE BWAMBALE
KPi.047,MIN BYONG CHOL
QDi.396, ASLAN AVGAZAROVICH BYUTUKAEV
LYi.028, Salah Badi
QDi.405, Malik Ruslanovich Barkhanoev
SOi.001, Yasin Ali Bayh
GBi.001, IBRAIMA CAMARÁ
KPi.011, KO CH'O'L-CHAE
KPi.006, PAEK CHANG-HO
QDi.365, AKHMED RAJAPOVICH CHATAEV
QDi.312, AAMIR ALI CHAUDHRY
QDi.070, YASSINE CHEKKOURI
QDi.376, PETER CHERIF
KPi.010, YO'N CHO'NG NAM
KPi.012, MUN CHO'NG-CH'O'L
KPi.069, KO CHOL MAN
KPi.044, KIM CHOL NAM
KPi.058, JO CHOL SONG
KPi.059, KANG CHOL SU
KPi.028,YU CHOL U
QDi.419, ANJEM CHOUDARY
QDi.300, MONIR CHOUKA
QDi.301, YASSIN CHOUKA
KPi.074, RI CHUN HWAN
KPi.075, RI CHUN SONG
KPi.054, CHOE CHUN YONG
KPi.013,CHOE CHUN-SIK
SSi.003, JAMES KOANG CHUOL
QDi.141, MAXAMED CABDULLAAH CIISE
QDi.410, SHANE DOMINIC CRAWFORD
QDi.331, ANDERS CAMEROON OSTENSVIG DALE
GBi.003, CRANHA DANFA
CFi.015, ALI DARASSA
IRi.012, AHMAD VAHID DASTJERDI
QDi.245, PIO ABOGNE DE VERA
QDi.252, AHMED DEGHDEGH
TAi.113, SHAHABUDDIN DELAWAR
QDi.246, REDENDO CAIN DELLOSA
QDi.243, FELICIANO SEMBORIO DELOS REYES JR.
IRi.013, AHMAD DERAKHSHANDEH
QDi.342, OUMAR DIABY
LYi.002, ABDULQADER YUSEF DIBRI
SOi.014, AHMED DIRIYE
GBi.004, IDRISSA DJALÓ
QDi.167, KAMEL DJERMANE
QDi.249, YAHIA DJOUADI
LYi.006, ABU ZAYD UMAR DORDA
TAi.092, DOST MOHAMMAD
TAi.019, NIK MOHAMMAD DOST MOHAMMAD
QDi.232, ABDELMALEK DROUKDEL
SSi.002, SIMON GATWECH DUAL
QDi.095, LIONEL DUMONT
QDi.111, AGUS DWIKARNA
QDi.019, ABDULLAH AHMED ABDULLAH EL ALFI
QDi.142, RADI ABD EL SAMIE ABOU EL YAZID EL AYASHI
QDi.262, REDOUANE EL HABHAB
QDi.082, MOUNIR EL MOTASSADEQ
QDi.065, ABD EL KADER MAHMOUD MOHAMED EL SAYED
QDi.409, ELSHAFEE EL SHEIKH
SDi.001, GAFFAR MOHAMMED ELHASSAN
TAi.063, MOHAMMAD AZAM ELMI
QDi.064, SAMI BEN KHAMIS BEN SALEH ELSSEID
IRi.014, MOHAMMAD ESLAMI
IRi.015, REZA-GHOLI ESMAELI
QDi.096, MOUSSA BEN OMAR BEN ALI ESSAADI
QDi.083, ZAKARYA ESSABAR
TAi.036, FAIZ
